complaint_id,fraud_timestamp,filed_at,victim_pin,victim_district,victim_state,fraud_type,amount_defrauded,bank_mentioned,complaint_text,status,ncrb_motive_total,ncrb_hist_total_2019_2021,ncrb_trend_2019_2021,ncrb_crime_rate_2022,ncrb_chargesheet_rate_2022
COMP-2024-00010,2024-03-08 22:00:00,2024-03-09 02:21:00,385765,Kozhikode,Kerala,KYC_SCAM,17922.3,UNION,"I got a call saying my UNION KYC will expire and after sharing OTP Rs 17,922 was withdrawn. This is Deepa Reddy reporting the incident.",CLOSED,283.0,21.0,0.0,661.0,96.0
COMP-2024-00011,2024-11-08 11:00:00,2024-11-08 16:37:00,528129,Hisar,Haryana,OTP_FRAUD,13684.99,PNB,"Someone called claiming to be from PNB and asked for my OTP, after which Rs 13,685 was transferred out of my account. Complainant: Priya Reddy.",CLOSED,401.0,7.0,0.0,418.6,43.3
COMP-2024-00012,2024-08-15 11:00:00,2024-08-15 15:43:00,776149,Aizawl,Mizoram,OTHER,11247.76,KOTAK,"This is Anjali Sharma. An unknown transaction of Rs 11,248 occurred on my KOTAK account and I suspect fraud.",FILED,1.0,2.0,0.0,291.6,58.0
COMP-2024-00013,2024-07-02 22:00:00,2024-07-02 23:34:00,378258,Muzaffarpur,Bihar,LOAN_SCAM,33428.56,SBI,"I, Rahul Reddy, was asked to pay a processing fee of Rs 33,429 through SBI for an instant loan app that never disbursed any loan.",UNDER_INVESTIGATION,309.0,5.0,-0.6666666666666666,168.1,75.4
COMP-2024-00014,2024-02-07 09:00:00,2024-02-07 10:09:00,388375,Gaya,Bihar,UPI_FRAUD,3563.5,HDFC,"I, Pooja Kumar, received a UPI collect request I did not recognise and Rs 3,564 was debited from my HDFC account without my authorisation.",FILED,309.0,5.0,-0.6666666666666666,168.1,75.4
COMP-2024-00015,2024-03-19 20:00:00,2024-03-20 03:10:00,189511,Shimla,Himachal Pradesh,OTHER,26442.89,HDFC,"This is Priya Gupta. An unknown transaction of Rs 26,443 occurred on my HDFC account and I suspect fraud.",UNDER_INVESTIGATION,31.0,0.0,0.0,177.8,82.9
COMP-2024-00016,2024-06-28 18:00:00,2024-06-28 20:00:00,946432,Varanasi,Uttar Pradesh,UPI_FRAUD,157331.63,IDBI,"I, Ravi Rao, received a UPI collect request I did not recognise and Rs 157,332 was debited from my IDBI account without my authorisation.",UNDER_INVESTIGATION,2639.0,123.0,-0.45098039215686275,171.6,76.1
COMP-2024-00017,2024-03-21 15:00:00,2024-03-21 20:10:00,189083,Durg,Chhattisgarh,OTP_FRAUD,5349.89,IDBI,"Someone called claiming to be from IDBI and asked for my OTP, after which Rs 5,350 was transferred out of my account. Complainant: Sanjay Sharma.",FILED,90.0,9.0,-0.8,246.5,80.4
COMP-2024-00018,2024-01-04 11:00:00,2024-01-04 17:36:00,367931,Bilaspur,Chhattisgarh,OTP_FRAUD,2806.94,ICICI,"Someone called claiming to be from ICICI and asked for my OTP, after which Rs 2,807 was transferred out of my account. Complainant: Vikram Patel.",FILED,90.0,9.0,-0.8,246.5,80.4
COMP-2024-00019,2024-07-26 08:00:00,2024-07-26 12:00:00,972442,Dibrugarh,Assam,OTHER,6108.06,IDBI,"This is Kavita Patel. An unknown transaction of Rs 6,108 occurred on my IDBI account and I suspect fraud.",UNDER_INVESTIGATION,696.0,465.0,2.451923076923077,167.1,32.6
COMP-2024-00020,2024-06-27 15:00:00,2024-06-27 15:57:00,253557,Gaya,Bihar,OTP_FRAUD,1256.0,AXIS,"Someone called claiming to be from AXIS and asked for my OTP, after which Rs 1,256 was transferred out of my account. Complainant: Vikram Iyer.",UNDER_INVESTIGATION,309.0,5.0,-0.6666666666666666,168.1,75.4
COMP-2024-00021,2024-06-07 17:00:00,2024-06-08 00:10:00,401022,Srinagar,Jammu and Kashmir,OTP_FRAUD,6317.05,KOTAK,"Someone called claiming to be from KOTAK and asked for my OTP, after which Rs 6,317 was transferred out of my account. Complainant: Priya Kumar.",UNDER_INVESTIGATION,28.0,7.0,0.0,191.4,77.1
COMP-2024-00022,2024-09-25 18:00:00,2024-09-26 01:54:00,396635,Kavaratti,Lakshadweep,LOAN_SCAM,32462.98,KOTAK,"I, Ravi Gupta, was asked to pay a processing fee of Rs 32,463 through KOTAK for an instant loan app that never disbursed any loan.",UNDER_INVESTIGATION,0.0,0.0,0.0,92.8,73.5
COMP-2024-00023,2024-12-01 21:00:00,2024-12-02 03:07:00,188834,Coimbatore,Tamil Nadu,OTP_FRAUD,8559.31,IDBI,"Someone called claiming to be from IDBI and asked for my OTP, after which Rs 8,559 was transferred out of my account. Complainant: Vikram Rao.",UNDER_INVESTIGATION,144.0,75.0,0.13333333333333333,252.8,70.7
COMP-2024-00024,2024-12-04 15:00:00,2024-12-04 18:17:00,261745,East Khasi Hills,Meghalaya,INVESTMENT_FRAUD,583635.19,IDBI,"I invested Rs 583,635 through IDBI into a trading platform recommended in a social media group and am now unable to withdraw. Reported by Amit Reddy.",UNDER_INVESTIGATION,39.0,3.0,0.0,87.6,26.9
COMP-2024-00025,2024-12-13 19:00:00,2024-12-14 01:43:00,500422,Kota,Rajasthan,OTHER,5605.43,PNB,"This is Suresh Rao. An unknown transaction of Rs 5,605 occurred on my PNB account and I suspect fraud.",CLOSED,941.0,90.0,2.0,293.5,49.8
COMP-2024-00026,2024-07-10 11:00:00,2024-07-10 17:50:00,253143,Raipur,Chhattisgarh,UPI_FRAUD,6927.57,KOTAK,"I, Amit Sharma, received a UPI collect request I did not recognise and Rs 6,928 was debited from my KOTAK account without my authorisation.",CLOSED,90.0,9.0,-0.8,246.5,80.4
COMP-2024-00027,2024-02-02 09:00:00,2024-02-02 13:39:00,117233,Thrissur,Kerala,LOAN_SCAM,9406.35,IDBI,"I, Manoj Rao, was asked to pay a processing fee of Rs 9,406 through IDBI for an instant loan app that never disbursed any loan.",UNDER_INVESTIGATION,283.0,21.0,0.0,661.0,96.0
COMP-2024-00028,2024-01-09 15:00:00,2024-01-09 21:20:00,789023,West Garo Hills,Meghalaya,LOAN_SCAM,18229.99,AXIS,"I, Manoj Verma, was asked to pay a processing fee of Rs 18,230 through AXIS for an instant loan app that never disbursed any loan.",FILED,39.0,3.0,0.0,87.6,26.9
COMP-2024-00029,2024-05-09 08:00:00,2024-05-09 11:07:00,918771,Jodhpur,Rajasthan,INVESTMENT_FRAUD,6074.2,PNB,"I invested Rs 6,074 through PNB into a trading platform recommended in a social media group and am now unable to withdraw. Reported by Rahul Kumar.",FILED,941.0,90.0,2.0,293.5,49.8
COMP-2024-00030,2024-02-10 15:00:00,2024-02-10 20:13:00,852524,Guntur,Andhra Pradesh,OTP_FRAUD,24509.66,CANARA,"Someone called claiming to be from CANARA and asked for my OTP, after which Rs 24,510 was transferred out of my account. Complainant: Ravi Reddy.",FILED,616.0,111.0,0.3235294117647059,299.0,86.5
COMP-2024-00031,2024-01-18 10:00:00,2024-01-18 13:21:00,694799,Agra,Uttar Pradesh,UPI_FRAUD,4082.55,KOTAK,"I, Rahul Mehta, received a UPI collect request I did not recognise and Rs 4,083 was debited from my KOTAK account without my authorisation.",UNDER_INVESTIGATION,2639.0,123.0,-0.45098039215686275,171.6,76.1
COMP-2024-00032,2024-02-14 22:00:00,2024-02-15 04:08:00,168093,Gwalior,Madhya Pradesh,INVESTMENT_FRAUD,37857.98,KOTAK,"I invested Rs 37,858 through KOTAK into a trading platform recommended in a social media group and am now unable to withdraw. Reported by Suresh Rao.",CASH_TRACED,258.0,31.0,1.6666666666666667,347.6,86.6
COMP-2024-00033,2024-06-11 20:00:00,2024-06-11 23:01:00,234568,Belagavi,Karnataka,UPI_FRAUD,14696.71,UNION,"I, Sanjay Rao, received a UPI collect request I did not recognise and Rs 14,697 was debited from my UNION account without my authorisation.",CASH_TRACED,1101.0,0.0,0.0,192.1,78.3
COMP-2024-00034,2024-05-08 11:00:00,2024-05-08 16:25:00,417534,Gwalior,Madhya Pradesh,LOAN_SCAM,14889.98,ICICI,"I, Pooja Rao, was asked to pay a processing fee of Rs 14,890 through ICICI for an instant loan app that never disbursed any loan.",UNDER_INVESTIGATION,258.0,31.0,1.6666666666666667,347.6,86.6
COMP-2024-00035,2024-11-12 20:00:00,2024-11-13 00:12:00,356773,Jammu,Jammu and Kashmir,UPI_FRAUD,4512.24,PNB,"I, Arjun Kumar, received a UPI collect request I did not recognise and Rs 4,512 was debited from my PNB account without my authorisation.",FILED,28.0,7.0,0.0,191.4,77.1
COMP-2024-00036,2024-07-08 18:00:00,2024-07-08 22:03:00,228473,Guntur,Andhra Pradesh,OTP_FRAUD,2039.29,AXIS,"Someone called claiming to be from AXIS and asked for my OTP, after which Rs 2,039 was transferred out of my account. Complainant: Vikram Nair.",FILED,616.0,111.0,0.3235294117647059,299.0,86.5
COMP-2024-00037,2024-06-06 17:00:00,2024-06-06 20:59:00,352422,Hisar,Haryana,UPI_FRAUD,6092.12,UNION,"I, Sunita Mehta, received a UPI collect request I did not recognise and Rs 6,092 was debited from my UNION account without my authorisation.",FILED,401.0,7.0,0.0,418.6,43.3
COMP-2024-00038,2024-10-08 14:00:00,2024-10-08 14:54:00,513037,Patna,Bihar,LOAN_SCAM,46168.13,ICICI,"I, Anjali Patel, was asked to pay a processing fee of Rs 46,168 through ICICI for an instant loan app that never disbursed any loan.",CASH_TRACED,309.0,5.0,-0.6666666666666666,168.1,75.4
COMP-2024-00039,2024-11-09 15:00:00,2024-11-09 20:08:00,452713,Ganjam,Odisha,KYC_SCAM,44826.92,PNB,"I got a call saying my PNB KYC will expire and after sharing OTP Rs 44,827 was withdrawn. This is Suresh Rao reporting the incident.",UNDER_INVESTIGATION,317.0,7.0,-1.0,311.2,77.9
COMP-2024-00040,2024-10-20 21:00:00,2024-10-20 23:45:00,539122,Chennai,Tamil Nadu,UPI_FRAUD,4680.83,CANARA,"I, Amit Gupta, received a UPI collect request I did not recognise and Rs 4,681 was debited from my CANARA account without my authorisation.",UNDER_INVESTIGATION,144.0,75.0,0.13333333333333333,252.8,70.7
COMP-2024-00041,2024-05-22 18:00:00,2024-05-23 00:05:00,317346,Gwalior,Madhya Pradesh,KYC_SCAM,17974.4,PNB,"I got a call saying my PNB KYC will expire and after sharing OTP Rs 17,974 was withdrawn. This is Kavita Joshi reporting the incident.",FILED,258.0,31.0,1.6666666666666667,347.6,86.6
COMP-2024-00042,2024-04-13 18:00:00,2024-04-13 19:15:00,214532,Nashik,Maharashtra,UPI_FRAUD,7874.58,PNB,"I, Pooja Joshi, received a UPI collect request I did not recognise and Rs 7,875 was debited from my PNB account without my authorisation.",FILED,2380.0,87.0,-0.18181818181818182,297.5,75.3
COMP-2024-00043,2024-11-29 19:00:00,2024-11-29 22:38:00,978292,Patna,Bihar,UPI_FRAUD,89183.01,ICICI,"I, Amit Sharma, received a UPI collect request I did not recognise and Rs 89,183 was debited from my ICICI account without my authorisation.",CASH_TRACED,309.0,5.0,-0.6666666666666666,168.1,75.4
COMP-2024-00044,2024-05-19 11:00:00,2024-05-19 17:19:00,581206,Vadodara,Gujarat,LOAN_SCAM,168603.51,ICICI,"I, Manoj Singh, was asked to pay a processing fee of Rs 168,604 through ICICI for an instant loan app that never disbursed any loan.",FILED,362.0,70.0,4.125,189.8,89.8
COMP-2024-00045,2024-10-25 21:00:00,2024-10-26 02:59:00,347781,Pune,Maharashtra,OTP_FRAUD,1476.54,KOTAK,"Someone called claiming to be from KOTAK and asked for my OTP, after which Rs 1,477 was transferred out of my account. Complainant: Rahul Kumar.",UNDER_INVESTIGATION,2380.0,87.0,-0.18181818181818182,297.5,75.3
COMP-2024-00046,2024-12-25 18:00:00,2024-12-26 00:35:00,359486,Solan,Himachal Pradesh,OTHER,13887.82,AXIS,"This is Manoj Mehta. An unknown transaction of Rs 13,888 occurred on my AXIS account and I suspect fraud.",UNDER_INVESTIGATION,31.0,0.0,0.0,177.8,82.9
COMP-2024-00047,2024-09-19 16:00:00,2024-09-19 20:01:00,805448,New Delhi,Delhi,KYC_SCAM,20483.31,UNION,"I got a call saying my UNION KYC will expire and after sharing OTP Rs 20,483 was withdrawn. This is Arjun Singh reporting the incident.",FILED,98.0,5.0,-1.0,1424.1,30.2
COMP-2024-00048,2024-10-02 16:00:00,2024-10-02 22:32:00,123839,Dibrugarh,Assam,KYC_SCAM,11405.95,SBI,"I got a call saying my SBI KYC will expire and after sharing OTP Rs 11,406 was withdrawn. This is Vikram Nair reporting the incident.",UNDER_INVESTIGATION,696.0,465.0,2.451923076923077,167.1,32.6
COMP-2024-00049,2024-04-29 21:00:00,2024-04-29 23:39:00,250219,Chandigarh,Chandigarh,LOAN_SCAM,18240.65,AXIS,"I, Manoj Rao, was asked to pay a processing fee of Rs 18,241 through AXIS for an instant loan app that never disbursed any loan.",UNDER_INVESTIGATION,26.0,1.0,0.0,240.5,54.4
COMP-2024-00050,2024-12-28 10:00:00,2024-12-28 13:36:00,536740,Raipur,Chhattisgarh,OTHER,4188.02,UNION,"This is Suresh Rao. An unknown transaction of Rs 4,188 occurred on my UNION account and I suspect fraud.",FILED,90.0,9.0,-0.8,246.5,80.4
COMP-2024-00051,2024-04-16 15:00:00,2024-04-16 16:42:00,877493,Lucknow,Uttar Pradesh,UPI_FRAUD,6945.14,AXIS,"I, Priya Joshi, received a UPI collect request I did not recognise and Rs 6,945 was debited from my AXIS account without my authorisation.",CLOSED,2639.0,123.0,-0.45098039215686275,171.6,76.1
COMP-2024-00052,2024-01-24 19:00:00,2024-01-24 21:18:00,680189,Dibrugarh,Assam,OTHER,500.0,SBI,This is Sanjay Mehta. An unknown transaction of Rs 500 occurred on my SBI account and I suspect fraud.,FILED,696.0,465.0,2.451923076923077,167.1,32.6
COMP-2024-00053,2024-04-04 18:00:00,2024-04-04 18:22:00,979827,Kolkata,West Bengal,OTHER,34839.22,UNION,"This is Deepa Verma. An unknown transaction of Rs 34,839 occurred on my UNION account and I suspect fraud.",CASH_TRACED,478.0,36.0,2.0,158.5,90.6
COMP-2024-00054,2024-04-01 09:00:00,2024-04-01 10:43:00,749887,Dibrugarh,Assam,OTHER,23071.53,AXIS,"This is Suresh Singh. An unknown transaction of Rs 23,072 occurred on my AXIS account and I suspect fraud.",FILED,696.0,465.0,2.451923076923077,167.1,32.6
COMP-2024-00055,2024-09-27 08:00:00,2024-09-27 12:08:00,384263,Khammam,Telangana,UPI_FRAUD,12065.55,IDBI,"I, Rahul Verma, received a UPI collect request I did not recognise and Rs 12,066 was debited from my IDBI account without my authorisation.",CASH_TRACED,593.0,119.0,1.0434782608695652,400.1,79.1
COMP-2024-00056,2024-01-28 09:00:00,2024-01-28 14:14:00,906360,Chennai,Tamil Nadu,KYC_SCAM,8742.91,KOTAK,"I got a call saying my KOTAK KYC will expire and after sharing OTP Rs 8,743 was withdrawn. This is Pooja Mehta reporting the incident.",CLOSED,144.0,75.0,0.13333333333333333,252.8,70.7
COMP-2024-00057,2024-07-03 09:00:00,2024-07-03 12:09:00,898329,Cuttack,Odisha,UPI_FRAUD,7050.85,CANARA,"I, Vikram Verma, received a UPI collect request I did not recognise and Rs 7,051 was debited from my CANARA account without my authorisation.",FILED,317.0,7.0,-1.0,311.2,77.9
COMP-2024-00058,2024-05-17 14:00:00,2024-05-17 15:30:00,555791,Gautam Buddh Nagar,Uttar Pradesh,UPI_FRAUD,155124.7,HDFC,"I, Vikram Gupta, received a UPI collect request I did not recognise and Rs 155,125 was debited from my HDFC account without my authorisation.",UNDER_INVESTIGATION,2639.0,123.0,-0.45098039215686275,171.6,76.1
COMP-2024-00059,2024-06-20 16:00:00,2024-06-20 18:38:00,436241,Gandhinagar,Gujarat,LOAN_SCAM,215684.8,ICICI,"I, Pooja Joshi, was asked to pay a processing fee of Rs 215,685 through ICICI for an instant loan app that never disbursed any loan.",UNDER_INVESTIGATION,362.0,70.0,4.125,189.8,89.8
COMP-2024-00060,2024-10-30 18:00:00,2024-10-30 18:18:00,862538,Alwar,Rajasthan,UPI_FRAUD,6785.42,UNION,"I, Neha Joshi, received a UPI collect request I did not recognise and Rs 6,785 was debited from my UNION account without my authorisation.",UNDER_INVESTIGATION,941.0,90.0,2.0,293.5,49.8
COMP-2024-00061,2024-02-25 22:00:00,2024-02-26 03:36:00,742439,Dakshina Kannada,Karnataka,UPI_FRAUD,4014.0,ICICI,"I, Rahul Mehta, received a UPI collect request I did not recognise and Rs 4,014 was debited from my ICICI account without my authorisation.",CLOSED,1101.0,0.0,0.0,192.1,78.3
COMP-2024-00062,2024-02-29 21:00:00,2024-03-01 00:58:00,922366,Gwalior,Madhya Pradesh,UPI_FRAUD,7705.25,KOTAK,"I, Sunita Rao, received a UPI collect request I did not recognise and Rs 7,705 was debited from my KOTAK account without my authorisation.",FILED,258.0,31.0,1.6666666666666667,347.6,86.6
COMP-2024-00063,2024-10-09 10:00:00,2024-10-09 12:03:00,936507,West Garo Hills,Meghalaya,KYC_SCAM,13270.3,CANARA,"I got a call saying my CANARA KYC will expire and after sharing OTP Rs 13,270 was withdrawn. This is Ravi Kumar reporting the incident.",FILED,39.0,3.0,0.0,87.6,26.9
COMP-2024-00064,2024-09-27 20:00:00,2024-09-27 23:25:00,715519,Rajkot,Gujarat,UPI_FRAUD,3405.1,IDBI,"I, Priya Patel, received a UPI collect request I did not recognise and Rs 3,405 was debited from my IDBI account without my authorisation.",CASH_TRACED,362.0,70.0,4.125,189.8,89.8
COMP-2024-00065,2024-09-07 14:00:00,2024-09-07 19:22:00,156215,Kozhikode,Kerala,UPI_FRAUD,18421.82,CANARA,"I, Deepa Patel, received a UPI collect request I did not recognise and Rs 18,422 was debited from my CANARA account without my authorisation.",UNDER_INVESTIGATION,283.0,21.0,0.0,661.0,96.0
COMP-2024-00066,2024-05-20 11:00:00,2024-05-20 15:54:00,878586,Indore,Madhya Pradesh,OTP_FRAUD,6680.07,CANARA,"Someone called claiming to be from CANARA and asked for my OTP, after which Rs 6,680 was transferred out of my account. Complainant: Arjun Nair.",UNDER_INVESTIGATION,258.0,31.0,1.6666666666666667,347.6,86.6
COMP-2024-00067,2024-10-28 21:00:00,2024-10-29 02:20:00,245998,Bhagalpur,Bihar,UPI_FRAUD,8193.1,ICICI,"I, Arjun Iyer, received a UPI collect request I did not recognise and Rs 8,193 was debited from my ICICI account without my authorisation.",CASH_TRACED,309.0,5.0,-0.6666666666666666,168.1,75.4
COMP-2024-00068,2024-10-22 20:00:00,2024-10-22 23:56:00,179184,Tawang,Arunachal Pradesh,UPI_FRAUD,6487.53,BOB,"I, Manoj Verma, received a UPI collect request I did not recognise and Rs 6,488 was debited from my BOB account without my authorisation.",UNDER_INVESTIGATION,4.0,0.0,0.0,148.8,47.2
COMP-2024-00069,2024-10-16 17:00:00,2024-10-16 17:28:00,204411,Ganjam,Odisha,OTHER,38729.29,SBI,"This is Manoj Nair. An unknown transaction of Rs 38,729 occurred on my SBI account and I suspect fraud.",FILED,317.0,7.0,-1.0,311.2,77.9
COMP-2024-00070,2024-09-22 20:00:00,2024-09-23 03:03:00,226451,Jaipur,Rajasthan,KYC_SCAM,8748.7,KOTAK,"I got a call saying my KOTAK KYC will expire and after sharing OTP Rs 8,749 was withdrawn. This is Deepa Gupta reporting the incident.",UNDER_INVESTIGATION,941.0,90.0,2.0,293.5,49.8
COMP-2024-00071,2024-11-08 20:00:00,2024-11-09 01:26:00,884616,Jamshedpur (East Singhbhum),Jharkhand,UPI_FRAUD,247859.59,AXIS,"I, Amit Gupta, received a UPI collect request I did not recognise and Rs 247,860 was debited from my AXIS account without my authorisation.",CASH_TRACED,259.0,28.0,-0.45454545454545453,124.5,58.2
COMP-2024-00072,2024-12-19 08:00:00,2024-12-19 09:50:00,642899,Solan,Himachal Pradesh,INVESTMENT_FRAUD,209943.54,PNB,"I invested Rs 209,944 through PNB into a trading platform recommended in a social media group and am now unable to withdraw. Reported by Pooja Rao.",UNDER_INVESTIGATION,31.0,0.0,0.0,177.8,82.9
COMP-2024-00073,2024-01-08 14:00:00,2024-01-08 18:24:00,400404,Raipur,Chhattisgarh,KYC_SCAM,19720.1,BOB,"I got a call saying my BOB KYC will expire and after sharing OTP Rs 19,720 was withdrawn. This is Manoj Joshi reporting the incident.",UNDER_INVESTIGATION,90.0,9.0,-0.8,246.5,80.4
COMP-2024-00074,2024-06-07 20:00:00,2024-06-07 21:06:00,113280,Changlang,Arunachal Pradesh,LOAN_SCAM,62121.57,ICICI,"I, Kavita Reddy, was asked to pay a processing fee of Rs 62,122 through ICICI for an instant loan app that never disbursed any loan.",FILED,4.0,0.0,0.0,148.8,47.2
COMP-2024-00075,2024-01-23 08:00:00,2024-01-23 11:21:00,257375,Nizamabad,Telangana,UPI_FRAUD,88979.47,KOTAK,"I, Amit Sharma, received a UPI collect request I did not recognise and Rs 88,979 was debited from my KOTAK account without my authorisation.",FILED,593.0,119.0,1.0434782608695652,400.1,79.1
COMP-2024-00076,2024-05-24 22:00:00,2024-05-25 02:48:00,578933,Muzaffarpur,Bihar,LOAN_SCAM,18883.28,HDFC,"I, Rahul Patel, was asked to pay a processing fee of Rs 18,883 through HDFC for an instant loan app that never disbursed any loan.",FILED,309.0,5.0,-0.6666666666666666,168.1,75.4
COMP-2024-00077,2024-09-28 11:00:00,2024-09-28 17:09:00,393418,Chandigarh,Chandigarh,OTP_FRAUD,17410.47,ICICI,"Someone called claiming to be from ICICI and asked for my OTP, after which Rs 17,410 was transferred out of my account. Complainant: Priya Sharma.",CASH_TRACED,26.0,1.0,0.0,240.5,54.4
COMP-2024-00078,2024-05-19 11:00:00,2024-05-19 17:44:00,907557,Chandigarh,Chandigarh,UPI_FRAUD,25646.95,ICICI,"I, Pooja Verma, received a UPI collect request I did not recognise and Rs 25,647 was debited from my ICICI account without my authorisation.",FILED,26.0,1.0,0.0,240.5,54.4
COMP-2024-00079,2024-12-12 14:00:00,2024-12-12 17:32:00,996114,Indore,Madhya Pradesh,KYC_SCAM,50762.89,SBI,"I got a call saying my SBI KYC will expire and after sharing OTP Rs 50,763 was withdrawn. This is Neha Rao reporting the incident.",FILED,258.0,31.0,1.6666666666666667,347.6,86.6
COMP-2024-00080,2024-01-12 09:00:00,2024-01-12 15:59:00,235047,Solan,Himachal Pradesh,KYC_SCAM,13763.79,CANARA,"I got a call saying my CANARA KYC will expire and after sharing OTP Rs 13,764 was withdrawn. This is Priya Patel reporting the incident.",FILED,31.0,0.0,0.0,177.8,82.9
COMP-2024-00081,2024-10-08 17:00:00,2024-10-08 18:15:00,539599,Madurai,Tamil Nadu,UPI_FRAUD,41653.49,BOB,"I, Sunita Kumar, received a UPI collect request I did not recognise and Rs 41,653 was debited from my BOB account without my authorisation.",UNDER_INVESTIGATION,144.0,75.0,0.13333333333333333,252.8,70.7
COMP-2024-00082,2024-10-21 22:00:00,2024-10-22 00:06:00,721301,Mysuru,Karnataka,KYC_SCAM,9169.03,ICICI,"I got a call saying my ICICI KYC will expire and after sharing OTP Rs 9,169 was withdrawn. This is Anjali Joshi reporting the incident.",CLOSED,1101.0,0.0,0.0,192.1,78.3
COMP-2024-00083,2024-09-26 17:00:00,2024-09-26 23:57:00,236828,Gandhinagar,Gujarat,UPI_FRAUD,919.29,AXIS,"I, Anjali Joshi, received a UPI collect request I did not recognise and Rs 919 was debited from my AXIS account without my authorisation.",CLOSED,362.0,70.0,4.125,189.8,89.8
COMP-2024-00084,2024-03-06 10:00:00,2024-03-06 13:25:00,992083,Ajmer,Rajasthan,INVESTMENT_FRAUD,15208.69,IDBI,"I invested Rs 15,209 through IDBI into a trading platform recommended in a social media group and am now unable to withdraw. Reported by Arjun Mehta.",FILED,941.0,90.0,2.0,293.5,49.8
COMP-2024-00085,2024-01-25 16:00:00,2024-01-25 23:37:00,534130,Prayagraj,Uttar Pradesh,KYC_SCAM,18325.58,ICICI,"I got a call saying my ICICI KYC will expire and after sharing OTP Rs 18,326 was withdrawn. This is Neha Gupta reporting the incident.",UNDER_INVESTIGATION,2639.0,123.0,-0.45098039215686275,171.6,76.1
COMP-2024-00086,2024-02-08 18:00:00,2024-02-08 23:09:00,743453,Srinagar,Jammu and Kashmir,OTHER,46600.9,KOTAK,"This is Sanjay Nair. An unknown transaction of Rs 46,601 occurred on my KOTAK account and I suspect fraud.",UNDER_INVESTIGATION,28.0,7.0,0.0,191.4,77.1
